Process,Function,Peak,ORF,YPD ,SGD ,Deletion,Known?,Description,Aggregate Score
unknown,similar to mammalian neutral,G1,YER019W,YER019W,YER019W,viable,New,"Protein with weak similarity to mammalian neutral sphingomyelinases, has motifs typical of ATP/GTP-binding sites ",2.33
cytoskeleton,beta-tubulin,S/G2,YFL037W,TUB2,TUB2,lethal,New,"Tubulin beta chain, required for mitosis and karyogamy",2.333
drug resistance,unknown,M/G1,YOR018W,ROD1,ROD1,viable,New,Protein that mediates resistance to o-dinitrobenzene (O-DNB) ,2.336
DNA replication,DNA topoisomerase III,G1,YLR234W,TOP3,TOP3,viable,New,"DNA topoisomerase III, relaxes negatively (but not positively) supercoiled DNA ",2.34
unknown,unknown,G1,YHR149C,YHR149C,YHR149C,undocumented,New,similar to YGR221C ,2.344
unknown,unknown,G1,YGR042W,YGR042W,YGR042W,undocumented,New,Protein of unknown function ,2.35
unknown,unknown,G2/M,YIL056W,YIL056W,YIL056W,undocumented,New,Protein of unknown function ,2.363
"mitosis, spindle maintenance",kinesin related protein,S,YEL061C,CIN8,CIN8,viable,New,Kinesin-related protein involved in establishment and maintenance of mitotic spindle ,2.368
unknown,unknown,G1,YJR030C,YJR030C,YJR030C,undocumented,New,has similarity to Yjl181p ,2.368
cell polarity,asymmetric HO expression,G2/M,YKL130C,SHE2,SHE2,viable,New,Protein required for mother cell-specific expression of HO ,2.37
methionine metabolism,S-adenosylmethionine synthetase,S/G2,YLR180W,SAM1,SAM1,undocumented,New,S-adenosylmethionine synthetase 1 ,2.373
transcription,alpha-specific gene activator,G2/M,YCR040W,ALPHA1,ALPHA1,undocumented,New,"Regulatory protein MATalpha1p, with Mcm1p activates alpha-specific genes (ALPHA1 and MATALPHA1 have the same coding sequence, but ALPHA1 is silenced)",2.374
cell wall biogenesis,unknown,S,YJR137C,ECM17,ECM17,viable,New,Putative sulfite reductase (ferredoxin),2.395
cytoskeleton,cytoplasmic microtubule orientation,S,YPL269W,KAR9,KAR9,viable,New,"Protein of the cell cortex required for the congression (nuclear migration) step of karyogamy, involved in proper orientation of cytoplasmic microtubules ",2.398
mating,negative regulator of Gpa1,M/G1,YLR452C,SST2,SST2,viable,Known,Protein involved in desensitization to alpha-factor pheromone ,2.406
telomere length regulation,telomere TTAGGG repeat-binding factor,S/G2,YPL128C,TBF1,TBF1,lethal,New,Teleomere binding protein that binds to TTAGGG repeats,2.411
mating,alpha factor precursor,M/G1,YPL187W,MFALPHA1,MF(ALPHA)1,viable,New,Mating pheromone alpha-1 factor ,2.416
unknown,unknown,S/G2,YIR010W,YIR010W,YIR010W,undocumented,New,novel,2.42
cell cycle,G1/S cyclin,G2/M,YAL040C,CLN3,CLN3,viable,Known,"G1/S-specific cyclin, interacts with Cdc28p protein kinase to control events at START ",2.422
unknown,similar to other subtelomerically-encoded protein,M/G1,YPL283C,YPL283C,YPL283C,undocumented,New,Protein with similarity to other subtelomerically-encoded protein (YPL283 and YGR296W code for identical proteins),2.422
unknown,putative fumarate reductase,G1,YEL047C,YEL047C,YEL047C,viable,New,Cytoplasmic soluble fumarate reductase ,2.425
unknown,unknown,S/G2,YOR391C,YOR391C,YOR391C,undocumented,New,Protein of unknown function ,2.426
cell wall biogenesis,"beta-1,6-glucan assembly protein",G1,YGL027C,CWH41,CWH41,viable,New,"Type II integral N-glycoprotein of the endoplasmic reticulum involved in beta-1,6-glucase assembly",2.428
protein glycosylation,UDP-N-acetyl-glucosamine-1-P transferase (GPT),S/G2,YBR243C,ALG7,ALG7,lethal,New,involved in first step in the dolichol pathway of N-glycosylation of proteins,2.43
signaling (putative),pheromone pathway,G1,YPR075C,OPY2,OPY2,undocumented,New,Protein that imparts Far- phenotype (GB:AF016263),2.433
unknown,unknown,G1,YLR235C,YLR235C,YLR235C,undocumented,New,questionable ORF,2.436
cytoskeleton,spindle pole body component,G2/M,YOL069W,NUF2,NUF2,lethal,New,"Coiled-coil protein of the spindle pole body, required for nuclear division ",2.448
unknown,similar to E. coli protein,G1,YDR400W,YDR400W,YDR400W,undocumented,New,similarity to C. fasciculata inosine-uridine preferring nucleoside hydrolase,2.451
bud emergence,unknown,G1,YGR014W,MSB2,MSB2,viable,New,Protein for which overproduction suppresses bud emergence defect of cdc24 mutant,2.458
sphingolipid metabolism,hydroxylase,G1,YDR297W,SUR2,SUR2,viable,New,Hydroxylase involved in sphingolipid metabolism,2.471
unknown,similar to other subtelomerically-encoded proteins,M/G1,YHR219W,YHR219W,YHR219W,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,2.481
gluconeogenesis,serine dehydratase,G2/M,YIL167W,YIL167W,YIL167W,viable,New,"Serine dehydratase, converts serine to pyruvate and ammonia for gluconeogenesis ",2.482
DNA repair,replication factor A 36 kD subunit,G1,YNL312W,RFA2,RFA2,lethal,Known,DNA replication Factor A; promoter has Mlu1 cell cycle box (MCB) elements,2.484
glutamate biosynthesis,proline oxidase,S/G2,YLR142W,PUT1,PUT1,undocumented,New,"Proline oxidase, first step in synthesis of glutamate from proline ",2.486
unknown,unknown,S,YLL062C,YLL062C,YLL062C,undocumented,New,Protein of unknown function ,2.518
unknown,unknown,G2/M,YLR095C,YLR095C,YLR095C,undocumented,New,Protein of unknown function ,2.52
secretion,GTPase-activating protein for Ypt6,M/G1,YJL044C,GYP6,GYP6,undocumented,New,GTPase-activating protein for Ypt6p ,2.523
unknown,unknown,G2/M,YGR176W,YGR176W,YGR176W,undocumented,New,novel; questionable ORF,2.53
unknown,unknown,M/G1,YLR041W,YLR041W,YLR041W,undocumented,New,Protein of unknown function ,2.543
unknown,unknown,G2/M,YOR314W,YOR314W,YOR314W,undocumented,New,novel,2.546
"mitosis, chromosome transmission",unknown,G1,YMR078C,CTF18,CTF18,viable,New,"Homolog of Rfc1p, Rfc2p, Rfc3p, Rfc4p, and Rfc5p, required for accurate chromosome transmission in mitosis and maintenance of normal telomere length",2.548
cell cycle,G1/S cyclin,G1,YNL289W,PCL1,PCL1,viable,Known,G1/S-specific cyclin that can interact with the Cdc28p-like kinase Pho85p ,2.552
chromatin structure,non-histone protein,G1,YGL207W,SPT16,SPT16,lethal,New,aka CDC68; General chromatin factor required for adequate expression of CLN and other genes,2.553
unknown,unknown,G1,YDL163W,YDL163W,YDL163W,undocumented,New,novel; questionable ORF,2.562
unknown,unknown,S/G2,YDR149C,,YDR149C,undocumented,New,questionable ORF,2.562
transport,general amino acid permease,S/G2,YKR039W,GAP1,GAP1,viable,New,"General amino acid permease, proton symport transporter for all naturally-occuring L-amino acids, 4-aminobutyric acid (GABA), ornithine, citrulline, some D-amino acids, and some toxic analogs ",2.567
cytoskeleton,spindle pole body component,G1,YNL126W,SPC98,SPC98,lethal,New,Spindle pole body component that interacts with gamma-tubulin,2.57
cell cycle,M phase; protein kinase,S/G2,YPR111W,DBF20,DBF20,viable,New,"Cell cycle protein kinase related to Dbf2p, involved in termination of M-phase ",2.573
"mitosis, spindle assembly",kinesin related protein,S,YBL063W,KIP1,KIP1,viable,New,Kinesin-related protein involved in establishment and maintenance of mitotic spindle ,2.574
sporulation,morphogenesis checkpoint,G1,YKL165C,MCD4,MCD4,lethal,New,morphogenesis checkpoint protein; ,2.577
glucose repression,(putative) Glc7p regulatory subunit,M/G1,YLR273C,PIG1,PIG1,viable,New,"Protein that interacts with Gsy2p, possible regulatory subunit for the PP1 family protein phosphatase Glc7p ",2.583
drug resistance,transporter,G2/M,YPL058C,PDR12,PDR12,undocumented,New,"Protein with similarity to Pdr5p and Snq2p, member of the ATP-binding cassette (ABC) superfamily ",2.589
purine metabolism,"adenylate kinase,",G1,YER170W,ADK2,ADK2,viable,New,"Adenylate kinase (GTP:AMP phosphotransferase), mitochondrial; codes for a non-functional protein in most laboratory strains",2.612
unknown,"similar to glucan 1,4-alpha-glucosidase",G2/M,YDL037C,YDL037C,YDL037C,undocumented,New,"Protein with similarity to glucan 1,4-alpha-glucosidase ",2.615
unknown,similar to Von Willebrand factor,S/G2,YLR373C,YLR373C,YLR373C,undocumented,New,Protein with weak similarity to Von Willebrand factor,2.62
"signaling, Ras pathway",negative regulator of ras-cAMP pathway,G2/M,YIL119C,RPI1,RPI1,viable,New,"Negative regulator of ras-cAMP pathway, downregulates normal but not mutant ras function ",2.621
mating,"cytoskeletal protein, similar to arrestins",M/G1,YDR085C,AFR1,AFR1,viable,New,Protein involved in morphogenesis of the mating projection (shmoo),2.633
unknown,cell surface glycoprotein,G1,YMR307W,GAS1,GAS1,viable,Known,Glycophospholipid-anchored surface glycoprotein,2.641
cytoskeleton,spindle pole body component,G1,YKL042W,SPC42,SPC42,lethal,Known,Component of the spindle pole body,2.643
unknown,unknown,S/G2,YEL017W,YEL017W,YEL017W,viable,New,Protein of unknown function ,2.65
"signaling, high osmolarity pathway",transmembrane osmosensor,G1,YER118C,SHO1,SSU81,viable,New,"aka SHO1, Protein with an SH3 domain involved as an osmosensor in the HOG1 high-osmolarity signal transduction pathway",2.655
mitosis,unknown; synthetic lethal with kar3,G1,YOR195W,SLK19,SLK19,viable,New,Protein involved with Kar3p in control of spindle dynamics,2.66
unknown,unknown,G2/M,YGR279C,YGR279C,YGR279C,undocumented,New,Protein of unknown function ,2.662
telomere length regulation,telomere binding protein,S,YGR099W,TEL2,TEL2,lethal,New,Protein involved in controlling telomere length and telomere position effect ,2.667
cell cycle (growth inhibitor),protein kinase,G1,YDR507C,GIN4,GIN4,viable,New,"Serine/threonine-protein kinase with similarity to Ycl024p, growth inhibitory protein",2.671
DNA replication (putative),interacts with DNA,S,YKR010C,TOF2,TOF2,viable,New,Protein that interacts with DNA topoisomerase I ,2.672
phosphate metabolism,vacuolar alkaline phosphatase,G1,YDR481C,PHO8,PHO8,undocumented,New,"Alkaline phosphatase (ALP), repressible (vacuolar), carries out dephosphorylation of phosphopeptides ",2.677
unknown,similar to periodic clock protein,M/G1,YFL067W,YFL067W,YFL067W,undocumented,New,Protein with similarity to periodic clock protein,2.684
unknown,unknown,G1,YJL217W,YJL217W,YJL217W,undocumented,New,novel,2.69
heme biosynthesis,ferrochelatase (protoheme ferrolyase),G1,YOR176W,HEM15,HEM15,viable,New,"Ferrochelatase (protoheme ferrolyase), last step in heme biosynthesis pathway, catalyzes insertion of ferrous iron into protoporphyrin IX ",2.696
cytoskeleton (putative),kinesin-related protein,S/G2,YPL155C,KIP2,KIP2,viable,New,functions antagonistically with Kar3p at the spindle poles to influence cytoplasmic microtubule numbers,2.696
amino acid metabolism,glycine decarboxylase P subunit,G2/M,YMR189W,GSD2,GCV2,undocumented,New,"Glycine decarboxylase, pyridoxal phosphate containing subunit (glycine decarboxylase P subunit)",2.72
unknown,unknown,G1,YDL103C,QRI1,QRI1,lethal,New ,aka UAP1; UDP-N-acetylglucosamine pyrophosphorylase; involved in chitin synthesis,2.725
unknown,unknown,S/G2,YKL069W,YKL069W,YKL069W,undocumented,New,Protein of unknown function ,2.741
cytokinesis,chitin synthase ,M/G1,YNL192W,CHS1,CHS1,viable,Known,chitin synthase I,2.748
transport,high-affinity zinc transporter,G2/M,YGL255W,ZRT1,ZRT1,viable,New,High-affinity zinc transport protein ,2.751
unknown,"similar to wheat glutenin, secalin",G1,YBR108W,YBR108W,YBR108W,undocumented,New,"Protein with weak similarity to wheat glutenin, secalin, and Drosophila mastermind protein ",2.777
unknown,unknown,S/G2,YDR089W,YDR089W,YDR089W,undocumented,New,"novel, with leucine zipper",2.779
unknown,unknown,G1,YKL066W,YKL066W,YKL066W,undocumented,New,Protein of unknown function ,2.792
mating; nuclear fusion; mitosis,kinesin-like protein,G1,YPR141C,KAR3,KAR3,viable,Known,"Kinesin-like protein involved in mitosis and essential for the congression (nuclear migration) step of karyogamy, probable coiled-coil protein ",2.796
fluconazole resistance,"transporter, major facilitator superfamily",S,YBR008C,FLR1,FLR1,viable,New,Protein with similarity to members of the major facilitator superfamily (MFS) multidrug-resistance proteins family ,2.806
unknown,similar to NADH-cytochrome b5 reductase,S/G2,YML125C,YML125C,YML125C,undocumented,New,Protein with similarity to NADH-cytochrome b5 reductase ,2.811
unknown,unknown,G1,YOR084W,YOR084W,YOR084W,undocumented,New,Protein of unknown function ,2.825
protein glycosylation,membrane-bound mannosyltransferase,G1,YGL038C,OCH1,OCH1,viable,New,"Alpha-1,6-mannosyltransferase involved in initiation of mannose outer chain elongation of N-linked oligosaccharides of type Man[9]GlcNac[2]",2.828
unknown,unknown,G2/M,YHR151C,YHR151C,YHR151C,undocumented,New,novel,2.841
DNA replication,MCM initiator complex,G2/M,YGL201C,MCM6,MCM6,lethal,New,Member of the MCM/P1 family of proteins involved in DNA replication ,2.848
DNA repair,exonuclease; also recombination,G1,YOR033C,EXO1,DHS1,viable,New,Mismatch repair and recombination exonuclease that interacts with Msh2p ,2.848
oxidative stress response,peptide-methionine sulfoxide reductase,S/G2,YER042W,YER042W,MXR1,viable,New,Peptide-methionine sulfoxide reductase involved in cellular antioxidation ,2.851
"mitosis, chromosome segregation",unknown,G1,YPL241C,CIN2,CIN2,viable,New,Protein involved in chromosome segregation,2.854
unknown,unknown,G1,YOR248W,YOR248W,YOR248W,undocumented,New,novel; questionable ORF,2.855
homothallic switching endonuclease,,G1,YDL227C,HO,HO,viable,Known,"Homothallic switching endonuclease, initiates mating type interconversion by making a double-stranded break in the expressed MAT gene ",2.861
unknown,unknown,G1,YDR501W,YDR501W,YDR501W,undocumented,New,similarity to hypothetical protein YLR183c,2.864
DNA repair,DNA-dependent ATPase,G1,YGL163C,RAD54,RAD54,viable,Known,"DNA-dependent ATPase of the Snf2p family, required for recombination and repair of X-ray damage ",2.879
unknown,unknown,S,YOR073W,YOR073W,YOR073W,undocumented,New,novel,2.881
unknown,unknown,G2/M,YOL070C,YOL070C,YOL070C,undocumented,New,"shows some homology to HPC2, which is involved in histone transcription",2.886
unknown,colony morphology,G1,YIL026C,IRR1,IRR1,lethal,New,Protein involved in colony morphology and adhesion to solid supports ,2.887
unknown,similar to members of major facilitator superfamily,G2/M,YOR273C,YOR273C,YOR273C,undocumented,New,Protein with similarity to members of major facilitator superfamily (MFS) multidrug-resistance (MFS-MDR) protein family ,2.891
unknown,unknown,S/G2,YDR130C,YDR130C,YDR130C,undocumented,New,"weak similarity to sea urchin myosin heavy chain, has possible coiled-coil region ",2.892
unknown,unknown,G1,YJL019W,YJL019W,YJL019W,undocumented,New,novel,2.899
unknown,similar to kynurenine aminotransferase,S/G2,YJL060W,YJL060W,YJL060W,undocumented,New,Protein with similarity to kynurenine aminotransferase ,2.9
DNA repair,8-oxoguanine DNA glycosylase,G1,YML060W,OGG1,OGG1,viable,New,"DNA glycosylase, excises 7,8-dihydro-8-oxoguanine (8-OxoG) and Fapy residues from DNA",2.915
unknown,major facilitator superfamily,S/G2,YGR138C,YGR138C,YGR138C,undocumented,New,Member of major facilitator superfamily (MFS) multidrug-resistance proteins family 1,2.925
cell wall biogenesis,"exo-beta-1,3-glucanase",G1,YLR300W,EXG1,EXG1,viable,New,"Exo-beta-1,3-glucanase (I/II), major isoform involved in cell wall beta-glucan assembly",2.926
DNA replication and repair,DNA ligase,G1,YDL164C,CDC9,CDC9,undocumented,Known,DNA ligase; level of mRNA is cell-cycle regulated and reaches maximum near the G1/S boundary,2.94
methionine biosynthesis,homocysteine methyltransferase,S,YER091C,MET6,MET6,viable,New,"Homocysteine methyltransferase (5-methyltetrahydropteroyl triglutamate--homocysteine methyltransferase), methionine synthase, cobalamin-independent ",2.956
unknown,unknown,G1,YDL211C,YDL211C,YDL211C,undocumented,New,similarity to hypothetical protein YNL176c,2.957
unknown,meiosis (putative),G2/M,YOR298W,YOR298W,YOR298W,undocumented,New,Protein of unknown function ,2.957
mRNA 3'-end processing,unknown,S/G2,YER032W,FIR1,FIR1,viable,New,"Protein that interacts with Pap1p and Ref2p, probably involved in 3'-mRNA processing",2.963
unknown,unknown; similar to Svs1p; suppressor of Rad53 lethality,G1,YOR247W,YOR247W,SRL1,undocumented,New,similar to SVS1,2.97
unknown,binds Sin3p,G1,YNL309W,STB1,STB1,viable,New,Sin3p-binding protein ,2.981
cytokinesis,may link chitin synthase to septins,G1,YNL233W,BNI4,BNI4,viable,New,Protein that may be involved in linking chitin synthase III to septins of the neck filaments,3.001
meiosis,unknown,G2/M,YBR138C,HDR1,HDR1,viable,New,Protein involved in meiotic segregation ,3.004
cytoskeleton,spindle pole body component,G1,YDR356W,NUF1,NUF1,lethal,Known,"aka SPC110; Spindle pole body component with coiled-coil structure, determines the spacing between the ends of microtubules and the central plaque ",3.005
unknown,similar to plant aminocyclopropane-1-carboxylate,S/G2,YCL063W,YCL063W,YCL063W,viable,New,Protein with similarity to plant aminocyclopropane-1-carboxylate synthase,3.017
unknown,unknown,G1,YDR528W,YDR528W,YDR528W,undocumented,New,"has similarity to LRE1, a protein involved in laminarinase resistance ",3.035
polarized growth,unknown,S,YOR188W,MSB1,MSB1,viable,New,Protein that may play a role in polarity establishment and bud formation ,3.043
mitosis,kinesin related protein,S/G2,YGL216W,KIP3,KIP3,undocumented,New,"Kinesin-related protein, involved in pre-anaphase nuclear migration",3.063
unknown,protease inhibitor,G1,YNL015W,PBI2,PBI2,viable,New,"Protease B (yscB or Prb1p) inhibitor 2 (I2B), has activity related to vacuolar fusion that is not related to protease activity ",3.064
unknown,"similar to Yox1p, which binds Leu-tRNA (SP:P34161)",S,YDR451C,YDR451C,YDR451C,undocumented,New,Protein with similarity to Yox1p,3.066
branched chain amino acid biosynthesis,transaminase,G1,YJR148W,BAT2,BAT2,viable,New,Cytosolic branched-chain amino acid transaminase ,3.07
unknown,"similar to Hda1p, Rpd3p, Hos2p, and Hos1p",S/G2,YPL116W,HOS3,HOS3,undocumented,New,similarity to Histone deacetylase,3.07
chromatin structure,chromatin assembly factor I subunit,G1,YML102W,CAC2,CAC2,viable,New,"Chromatin assembly complex subunit 1, involved in nucleosome assembly linked with DNA replication, has WD (WD-40) repeats",3.078
cell cycle,G2/M cyclin,S/G2,YLR210W,CLB4,CLB4,viable,Known,G2/M-phase-specific cyclin ,3.08
pseudohyphal growth,protein kinase,S/G2,YKL048C,ELM1,ELM1,undocumented,New,Serine/threonine protein kinase regulating pseudohyphal growth ,3.08
"RNA splicing, mitochondrial",RNA binding protein,S/G2,YHR086W,NAM8,NAM8,viable,New,"U1 snRNA-associated protein, essential for meiotic recombination and suppressor of mitochondrial splicing defects, has 3 RNA recognition (RRM) domains ",3.086
cytoskeleton,IQGAP homolog,G2/M,YPL242C,IQG1,IQG1,lethal,New,"required for cell division, but not for the progression of the budding or the nuclear cycle",3.086
unknown,similar to other subtelomerically-coded proteins,M/G1,YLR466W,YLR466W,YLR466W,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.096
pseudohyphal growth,unknown,S,YMR238W,DFG5,DFG5,viable,New,"Protein required for filamentous growth, cell polarity, and cellular elongation ",3.108
unknown,unknown,G1,YBL112C,,YBL112C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.112
chromatin structure,chromatin assembly factor I subunit,G1,YPR018W,RLF2,RLF2,viable,New,"Aka CAC1; Chromatin Assembly Complex, subunit #1: Encodes the largest (p90) subunit of a three-subunit protein complex (yeast CAF-I) involved in DNA-replication-linked nucleosome assembly. Homologous to the p150 subunit of human Chromatin Assembly Factor-I (CAF-I).",3.116
acetate ester biosynthesis,alcohol acetyltransferase,G2/M,YGR177C,ATF2,ATF2,undocumented,New,Alcohol O-acetyltransferase ,3.141
DNA replication,polymerase alpha 180 kD subunit,G1,YNL102W,POL1,POL1,lethal,Known,DNA polymerase alpha 180 kDa subunit ,3.143
aging,unknown,G2/M,YKR042W,UTH1,UTH1,undocumented,New,"Protein involved in the aging process, mutants have longer lifespan and better viability upon starvation ",3.144
unknown,unknown,G1,YEL076C-A,YEL076CA,YEL076C-A,undocumented,New,Protein with similarity to other subtelomerically-encoded protein (YPL283 and YGR296W code for identical proteins),3.149
unknown,similar to other subtelomerically-encoded proteins,G1,YHL050C,YHL050C,YHL050C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.155
cell cycle,"GTP-binding protein, RAS superfamily",G2/M,YML064C,TEM1,TEM1,lethal,New,GTP-binding protein of the ras superfamily involved in termination of M-phase ,3.18
unknown,similar to other subtelomerically-encoded proteins,M/G1,YPR204W,YPR204W,YPR204W,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.184
unknown,similar to calcium and sodium channel proteins,G2/M,YBR086C,YBR086C,YBR086C,undocumented,New,"Protein with similarity to calcium and sodium channel proteins, has 7-9 potential transmembrane domains ",3.2
sulfate assimilation,adenylylsulfate kinase,S,YKL001C,MET14,MET14,undocumented,New,"Adenosine-5'-phosphosulfate 3'-phosphotransferase (adenylylsulfate kinase), part of the sulfate assimilation pathway ",3.206
arginine metabolism,ornithine aminotransferase,G2/M,YLR438W,CAR2,CAR2,viable,New,Ornithine aminotransferase (ornithine--oxo-acid aminotransferase),3.209
unknown,similar to rotenone-insensitive NADH-ubiquinone,G2/M,YMR145C,YMR145C,YMR145C,undocumented,New,Protein with similarity to rotenone-insensitive NADH-ubiquinone oxidoreductase Ndi1p; has 44% identity with Ndi1p over 469 amino acids; even stronger homology to YDL085w,3.228
cell cycle,transcription factor,M/G1,YER111C,SWI4,SWI4,viable,Known,both Swi4p and Swi6p are required for the in vivo protection of the SCB sequences at any cell cycle stage,3.239
cytoskeleton,spindle pole body component,S,YLR045C,STU2,STU2,lethal,New,Component of the spindle pole body,3.242
mating,a-agglutinin anchor subunit,M/G1,YNR044W,AGA1,AGA1,undocumented,Known,a-Agglutinin anchor subunit ,3.251
unknown,putative cell surface glycoprotein,G2/M,YDR077W,SED1,SED1,viable,Known,"Abundant cell surface glycoprotein, overexpression suppresses growth defect of erd2 ",3.256
unknown,unknown,G1,YCL061C,YCL061C,YCL061C,undocumented,New,similarity to myosin heavy chain form b from Chicken and Xenopus,3.267
unknown,major facilitator superfamily,G2/M,YOL158C,YOL158C,YOL158C,undocumented,New,members of family 2 of the multidrug permeases all have 14 predicted membrane-spanning regions,3.267
unknown,unknown,M/G1,YOR264W,YOR264W,YOR264W,undocumented,New,novel,3.269
karyogamy,transcription factor,M/G1,YCL055W,KAR4,KAR4,viable,Known,Regulatory protein required for pheromone induction of karyogamy genes ,3.272
"cell cycle, checkpoint",protein kinase,G1,YGR188C,BUB1,BUB1,undocumented,New,Serine/threonine protein kinase and checkpoint protein required for cell cycle arrest in response to loss of microtubule function ,3.273
"meiosis, spore formation",unknown,G1,YHR153C,SPO16,SPO16,undocumented,New,Early meiotic protein required for efficient spore formation,3.278
cell wall biogenesis,"1,3-beta-D-glucan synthase subunit",G1,YLR342W,GLS1,FKS1,viable,Known,"1,3-beta-D-glucan synthase",3.281
unknown,similar to other subtelomerically-encoded proteins,G1,YPR202W,YPR202W,YPR202W,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.287
DNA repair,DNA damage-responsive protein kinase,G1,YDL101C,DUN1,DUN1,undocumented,New,Protein kinase necessary for induction of Rnr3p and DNA repair genes after DNA damage,3.29
cell cycle,cyclin (Pho85p),M/G1,YDL179W,PCL9,PCL9,viable,Known,Pho85 cyclin,3.296
unknown,unknown,M/G1,YJL195C,YJL195C,YJL195C,undocumented,New,Protein of unknown function ,3.298
meiosis,helicase,G1,YBR073W,RDH54,RDH54,viable,New,Protein required for mitotic diploid-specific recombination and repair and for meiosis ,3.306
unknown,unknown,G2/M,YPR157W,YPR157W,YPR157W,undocumented,New,Protein of unknown function ,3.311
cell cycle,unknown,S/G2,YIL123W,SIM1,SIM1,undocumented,New,Protein involved in the aging process and in regulation of the cell cycle; has 71% identity to Sun4p over 359 amino acids ,3.317
unknown,similar to Drosophila fork head protein,S/G2,YIL131C,FKH1,FKH1,viable,New,contains a forkhead-associated (FHA) domain,3.345
bud emergence,binds Cdc24p,G2/M,YBR200W,BEM1,BEM1,viable,New,"Protein with SH3 domains, required for cell polarization and bud formation ",3.349
unknown,unknown,G1,YLR326W,YLR326W,YLR326W,undocumented,New,novel,3.358
mating,a-factor precursor,G2/M,YNL145W,MFA2,MFA2,viable,Known,a-factor,3.364
unknown,similar to other subtelomerically-encoded proteins,G1,YPR203W,YPR203W,YPR203W,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.364
unknown,similar to Gas1p,S/G2,YOL030W,YOL030W,YOL030W,viable,New,strong similarity to Gas1,3.371
mating,alpha-agglutinin,M/G1,YJR004C,SAG1,SAG1,undocumented,New,alpha-Agglutinin involved in cell-cell interactions during mating ,3.383
unknown,unknown,S/G2,YGL101W,YGL101W,YGL101W,undocumented,New,strong similarity to YBR242W ,3.388
unknown,similar to rat kynureninase (PIR:PS0370),G1,YLR231C,YLR231C,YLR231C,undocumented,New,"Protein with weak similarity to rat kynureninase (PIR:PS0370), likely active in tryptophan degradation and nicotinic acid synthesis ",3.395
unknown,unknown,G2/M,YLR413W,YLR413W,YLR413W,undocumented,New,Protein of unknown function ,3.407
glycolysis,phosphoglucomutase,G1,YKL127W,PGM1,PGM1,viable,New,"Phosphoglucomutase, minor isoform, interconverts Glc-1-P and Glc-6-P ",3.412
sphingolipid metabolism,suppresses cls2-2and rvs161,G1,YPL057C,SUR1,SUR1,undocumented,New,Protein required for the synthesis of mannosylated sphingolipids ,3.412
stress response (putative),cell wall mannoprotein,M/G1,YBR067C,TIP1,TIP1,viable,Known,"Cold- and heat-shock induced mannoprotein of the cell wall, member of the PAU1 family ",3.417
unknown,similar to other subtelomerically-encoded proteins,G1,YLL067C,YLL067C,YLL067C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.423
unknown,unknown,S/G2,YOR324C,YOR324C,YOR324C,undocumented,New,Protein of unknown function ,3.43
unknown,unknown,G1,YPL208W,YPL208W,YPL208W,undocumented,New,similar to YHL039W,3.444
DNA repair,ssDNA endonuclease,G1,YKL113C,RAD27,RAD27,viable,Known,Single-stranded DNA endonuclease and 5'-3' exonuclease that functions in the MSH2-MLH1-PMS1-dependent mismatch repair system; promoter contains 2 MluI cell cycle box (MCB) elements,3.445
unknown,unknown,G1,YNL339C,YNL339C,YNL339C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.448
unknown,"similar to hexose transporters, member of",G2/M,YEL065W,YEL065W,YEL065W,viable,New,Member of major facilitator superfamily (MFS) multidrug-resistance (MFS-MDR) protein family ,3.458
branched chain amino acid degradation,transaminase,S/G2,YHR208W,BAT1,BAT1,viable,New,Mitochondrial branched-chain amino acid transaminase ,3.46
DNA replication,"replication factor A, 13 kD subunit",G1,YJL173C,RFA3,RFA3,lethal,Known,"DNA replication factor A, 13K subunit",3.471
DNA replication,unknown; interacts with Dpb11p,G1,YKL108W,YKL108W,SLD2,undocumented,New,novel,3.528
unknown,unknown,G2/M,YCR041W,YCR041W,YCR041W,undocumented,New,Protein with unknown function ,3.531
phospholipid metabolism,lipid phosphate phosphatase,G1,YDR503C,LPP1,LPP1,undocumented,New,Lipid phosphate phosphatase ,3.537
unknown,similar to Kin4p,S/G2,YPL141C,YPL141C,YPL141C,undocumented,New,Serine/threonine protein kinase with similarity to Kin4p,3.542
cytoskeleton,gamma-tubulin,G1,YLR212C,TUB4,TUB4,lethal,New,"Gamma tubulin, required for microtubule organization and nuclear division ",3.546
cytoskeleton,spindle pole body associated protein,S/G2,YMR198W,CIK1,CIK1,viable,Known,Coiled-coil protein of spindle pole body involved in spindle formation and the congression (nuclear migration) step of karyogamy ,3.553
unknown,similar to C. elegans nuclear lamin,G1,YPR174C,YPR174C,YPR174C,undocumented,New,Protein with weak similarity to C. elegans nuclear lamin and Nbp1,3.609
unknown,unknown,G2/M,YOR315W,YOR315W,YOR315W,undocumented,New,novel,3.634
