mgi_marker,symbol,name,chr
MGI:1270156,Septin4,septin 4,11
MGI:1195461,Septin5,septin 5,16
MGI:1888939,Septin6,septin 6,X
MGI:1335094,Septin7,septin 7,9
MGI:894310,Septin8,septin 8,11
MGI:1858222,Septin9,septin 9,11
MGI:1918110,Septin10,septin 10,10
MGI:1277214,Septin11,septin 11,5
MGI:1918339,Septin12,septin 12,16
MGI:1921472,Septin14,septin 14,5
MGI:1918177,Setd2,SET domain containing 2,9
MGI:1921979,Setmar,SET domain without mariner transposase fusion,6
MGI:1918764,Sfpq,splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated),4
MGI:892014,Sfrp1,secreted frizzled-related protein 1,8
MGI:1919665,Sgo1,shugoshin 1,17
MGI:1098767,Sgo2a,shugoshin 2A,1
MGI:3644562,Sgo2b,shugoshin 2B,8
MGI:1201407,Sh2b1,SH2B adaptor protein 1,7
MGI:1859730,Sh3glb1,SH3-domain GRB2-like B1 (endophilin),3
MGI:1919086,Shcbp1l,Shc SH2-domain binding protein 1-like,1
MGI:2140313,Shoc1,shortage in chiasmata 1,4
MGI:108064,Siah1a,siah E3 ubiquitin protein ligase 1A,8
MGI:107157,Sin3a,"transcriptional regulator, SIN3A (yeast)",9
MGI:2135607,Sirt1,sirtuin 1,10
MGI:1927664,Sirt2,sirtuin 2,7
MGI:2385849,Sirt7,sirtuin 7,11
MGI:102764,Six3,sine oculis-related homeobox 3,17
MGI:1351663,Skp2,S-phase kinase-associated protein 2,15
MGI:106013,Slc16a1,"solute carrier family 16 (monocarboxylic acid transporters), member 1",3
MGI:1920583,Slc25a31,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31",3
MGI:2145448,Slf1,SMC5-SMC6 complex localization factor 1,13
MGI:1924968,Slf2,SMC5-SMC6 complex localization factor 2,19
MGI:1313259,Slfn1,schlafen 1,11
MGI:106299,Slx4,SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae),16
MGI:95453,Smarcad1,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1",6
MGI:1914243,Smarcd3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3",5
MGI:1344345,Smc1a,structural maintenance of chromosomes 1A,X
MGI:2154049,Smc1b,structural maintenance of chromosomes 1B,15
MGI:106067,Smc2,structural maintenance of chromosomes 2,4
MGI:1339795,Smc3,structural maintenance of chromosomes 3,19
MGI:1917349,Smc4,structural maintenance of chromosomes 4,3
MGI:2385088,Smc5,structural maintenance of chromosomes 5,19
MGI:1927578,Smpd3,"sphingomyelin phosphodiesterase 3, neutral",8
MGI:1929266,Snd1,staphylococcal nuclease and tudor domain containing 1,6
MGI:1913866,Snx9,sorting nexin 9,17
MGI:2137642,Snx18,sorting nexin 18,13
MGI:2443239,Snx33,sorting nexin 33,9
MGI:98353,Son,Son DNA binding protein,16
MGI:98366,Sox4,SRY (sex determining region Y)-box 4,13
MGI:98371,Sox9,SRY (sex determining region Y)-box 9,11
MGI:98363,Sox15,SRY (sex determining region Y)-box 15,11
MGI:1927470,Spag5,sperm associated antigen 5,11
MGI:1858896,Spast,spastin,17
MGI:2685728,Spata22,spermatogenesis associated 22,11
MGI:1913692,Spc25,"SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)",2
MGI:1917635,Spdl1,spindle apparatus coiled-coil protein 1,11
MGI:1918141,Spdya,"speedy/RINGO cell cycle regulator family, member A",17
MGI:2139806,Spg20,"spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)",3
MGI:1316649,Sphk1,sphingosine kinase 1,11
MGI:1196252,Spice1,spindle and centriole associated protein 1,16
MGI:109242,Spin1,spindlin 1,13
MGI:1915416,Spire1,spire type actin nucleation factor 1,18
MGI:2446256,Spire2,spire type actin nucleation factor 2,8
MGI:1349669,Spo11,SPO11 initiator of meiotic double stranded breaks,2
MGI:1345139,Spry1,sprouty RTK signaling antagonist 1,3
MGI:1345138,Spry2,sprouty RTK signaling antagonist 2,14
MGI:98388,Sptbn1,"spectrin beta, non-erythrocytic 1",11
MGI:894282,Sstr5,somatostatin receptor 5,17
MGI:2139150,Ssx2ip,"synovial sarcoma, X 2 interacting protein",3
MGI:1098658,Stag1,stromal antigen 1,9
MGI:1098583,Stag2,stromal antigen 2,X
MGI:1355311,Stag3,stromal antigen 3,5
MGI:1917777,Stambp,STAM binding protein,6
MGI:3045258,Stard9,START domain containing 9,2
MGI:107477,Stil,Scl/Tal1 interrupting locus,4
MGI:2152419,Stk33,serine/threonine kinase 33,7
MGI:96739,Stmn1,stathmin 1,4
MGI:2684909,Stox1,storkhead box 1,10
MGI:107917,Stra8,stimulated by retinoic acid gene 8,6
MGI:108059,Stx2,syntaxin 2,5
MGI:1342296,Stxbp4,syntaxin binding protein 4,11
MGI:1924303,Sun1,Sad1 and UNC84 domain containing 1,5
MGI:1918983,Susd2,sushi domain containing 2,10
MGI:1921325,Syce1,synaptonemal complex central element protein 1,7
MGI:1922247,Syce1l,synaptonemal complex central element protein 1 like,8
MGI:1919096,Syce2,synaptonemal complex central element protein 2,8
MGI:1922709,Syce3,synaptonemal complex central element protein 3,15
MGI:105931,Sycp1,synaptonemal complex protein 1,3
MGI:1933281,Sycp2,synaptonemal complex protein 2,2
MGI:2685114,Sycp2l,synaptonemal complex protein 2-like,13
MGI:109542,Sycp3,synaptonemal complex protein 3,10
MGI:1918959,Syde1,"synapse defective 1, Rho GTPase, homolog 1 (C. elegans)",10
MGI:1915842,Syf2,"SYF2 homolog, RNA splicing factor (S. cerevisiae)",4
MGI:2443510,Tacc1,"transforming, acidic coiled-coil containing protein 1",8
MGI:1928899,Tacc2,"transforming, acidic coiled-coil containing protein 2",7
MGI:1341163,Tacc3,"transforming, acidic coiled-coil containing protein 3",5
MGI:2443028,Taf2,TATA-box binding protein associated factor 2,15
MGI:1346320,Taf10,TATA-box binding protein associated factor 10,7
MGI:1914490,Taok1,TAO kinase 1,11
MGI:1915919,Taok2,TAO kinase 2,7
MGI:3041177,Taok3,TAO kinase 3,5
MGI:1933546,Tas1r2,"taste receptor, type 1, member 2",4
MGI:2681171,Tas2r102,"taste receptor, type 2, member 102",6
MGI:2681259,Tas2r121,"taste receptor, type 2, member 121",6
MGI:2681267,Tas2r124,"taste receptor, type 2, member 124",6
MGI:1921694,Tasor,transcription activation suppressor,14
MGI:1917680,Tbce,tubulin-specific chaperone E,13
MGI:98510,Tcf3,transcription factor 3,10
MGI:103180,Tcf19,transcription factor 19,17
MGI:1916318,Tcim,transcriptional and immune response regulator,8
MGI:1921941,Tdrd9,tudor domain containing 9,12
MGI:1919231,Tdrd12,tudor domain containing 12,7
MGI:1919884,Tdrkh,tudor and KH domain containing protein,3
MGI:2443187,Terb1,telomere repeat binding bouquet formation protein 1,8
MGI:1921651,Terb2,telomere repeat binding bouquet formation protein 2,2
MGI:109634,Terf1,telomeric repeat binding factor 1,1
MGI:1202709,Tert,telomerase reverse transcriptase,13
MGI:1933237,Tex11,testis expressed gene 11,X
MGI:1913904,Tex12,testis expressed 12,9
MGI:1933227,Tex14,testis expressed gene 14,11
MGI:1934816,Tex15,testis expressed gene 15,8
MGI:1920929,Tex19.1,testis expressed gene 19.1,11
MGI:1918206,Tex19.2,testis expressed gene 19.2,11
MGI:103239,Tfap4,transcription factor AP4,16
MGI:98724,Tgfa,transforming growth factor alpha,6
MGI:98725,Tgfb1,"transforming growth factor, beta 1",7
MGI:1919668,Thoc1,THO complex 1,18
MGI:1351333,Thoc5,THO complex 5,11
MGI:1924261,Ticrr,TOPBP1-interacting checkpoint and replication regulator,7
MGI:1321393,Timeless,timeless circadian clock 1,10
MGI:1921571,Tipin,timeless interacting protein,9
MGI:1915087,Tiprl,"TIP41, TOR signalling pathway regulator-like (S. cerevisiae)",1
MGI:1351650,Tjp3,tight junction protein 3,10
MGI:2149593,Tle6,transducin-like enhancer of split 6,10
MGI:1922854,Tm4sf5,transmembrane 4 superfamily member 5,11
MGI:1923928,Tmem67,transmembrane protein 67,4
MGI:1355315,Tmod3,tropomodulin 3,9
MGI:1341087,Tnks,"tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase",8
MGI:2684313,Togaram1,TOG array regulator of axonemal microtubules 1,12
MGI:2443498,Togaram2,TOG array regulator of axonemal microtubules 2,17
MGI:1919193,Tom1l1,target of myb1-like 1 (chicken),11
MGI:2443306,Tom1l2,target of myb1-like 2 (chicken),11
MGI:98790,Top2a,topoisomerase (DNA) II alpha,11
MGI:98791,Top2b,topoisomerase (DNA) II beta,14
MGI:1197527,Top3a,topoisomerase (DNA) III alpha,11
MGI:3779933,Topaz1,testis and ovary specific PAZ domain containing 1,9
MGI:1920018,Topbp1,topoisomerase (DNA) II binding protein 1,9
MGI:1298386,Tpd52l1,tumor protein D52-like 1,10
MGI:1920198,Tppp,tubulin polymerization promoting protein,13
MGI:1922066,Tpr,"translocated promoter region, nuclear basket protein",1
MGI:1345190,Tpra1,"transmembrane protein, adipocyte asscociated 1",6
MGI:1919369,Tpx2,"TPX2, microtubule-associated",2
MGI:2445089,Trappc12,trafficking protein particle complex 12,12
MGI:1328317,Trex1,three prime repair exonuclease 1,9
MGI:106264,Trim36,tripartite motif-containing 36,18
MGI:2153072,Trim37,tripartite motif-containing 37,11
MGI:1890659,Trim39,tripartite motif-containing 39,17
MGI:2685973,Trim71,tripartite motif-containing 71,9
MGI:1916966,Trip13,thyroid hormone receptor interactor 13,13
MGI:98834,Trp53,transformation related protein 53,11
MGI:1351320,Trp53bp1,transformation related protein 53 binding protein 1,2
MGI:1330810,Trp63,transformation related protein 63,16
MGI:2153272,Trrap,transformation/transcription domain-associated protein,5
MGI:1194921,Ttk,Ttk protein kinase,9
MGI:1916987,Ttl,tubulin tyrosine ligase,2
MGI:107814,Tubb1,"tubulin, beta 1 class VI",2
MGI:107812,Tubb5,"tubulin, beta 5 class I",17
MGI:101834,Tubg1,"tubulin, gamma 1",11
MGI:2144208,Tubg2,"tubulin, gamma 2",11
MGI:1921487,Tubgcp2,"tubulin, gamma complex associated protein 2",7
MGI:2183752,Tubgcp3,"tubulin, gamma complex associated protein 3",8
MGI:1196293,Tubgcp4,"tubulin, gamma complex associated protein 4",2
MGI:2178836,Tubgcp5,"tubulin, gamma complex associated protein 5",7
MGI:2146071,Tubgcp6,"tubulin, gamma complex associated protein 6",15
MGI:3590652,Txlng,taxilin gamma,X
MGI:98888,Ubb,ubiquitin B,11
MGI:1344410,Ubd,ubiquitin D,17
MGI:102944,Ube2b,ubiquitin-conjugating enzyme E2B,11
MGI:1915862,Ube2c,ubiquitin-conjugating enzyme E2C,2
MGI:2384997,Ube2e2,ubiquitin-conjugating enzyme E2E 2,14
MGI:109240,Ube2l3,ubiquitin-conjugating enzyme E2L 3,16
MGI:1925141,Ube2s,ubiquitin-conjugating enzyme E2S,7
MGI:1861099,Ubr2,ubiquitin protein ligase E3 component n-recognin 2,17
MGI:1915303,Ubxn2b,UBX domain protein 2B,4
MGI:103185,Uimc1,ubiquitin interaction motif containing 1,13
MGI:1328357,Unc119,unc-119 lipid binding chaperone,11
MGI:107995,Upf1,UPF1 regulator of nonsense transcripts homolog (yeast),8
MGI:1919338,Ush1c,USH1 protein network component harmonin,7
MGI:1934029,Usp8,ubiquitin specific peptidase 8,2
MGI:1918722,Usp19,ubiquitin specific peptidase 19,9
MGI:1933247,Usp26,ubiquitin specific peptidase 26,X
MGI:2442293,Usp28,ubiquitin specific peptidase 28,9
MGI:1888998,Usp29,ubiquitin specific peptidase 29,7
MGI:2159711,Usp33,ubiquitin specific peptidase 33,3
MGI:2442483,Usp37,ubiquitin specific peptidase 37,1
MGI:3045318,Usp44,ubiquitin specific peptidase 44,10
MGI:1922246,Usp47,ubiquitin specific peptidase 47,7
MGI:3588217,Usp51,ubiquitin specific protease 51,X
MGI:1925860,Uvrag,UV radiation resistance associated gene,7
MGI:1277988,Uxt,ubiquitously expressed prefoldin like chaperone,X
MGI:99919,Vcp,valosin containing protein,4
MGI:1890520,Vps4a,vacuolar protein sorting 4A,8
MGI:1100499,Vps4b,vacuolar protein sorting 4B,1
MGI:2387357,Wac,WW domain containing adaptor with coiled-coil,18
MGI:2675859,Wapl,WAPL cohesin release factor,14
MGI:1916017,Washc1,WASH complex subunit 1,17
MGI:2146110,Washc5,WASH complex subunit 5,15
MGI:1920428,Wasl,WASP like actin nucleation promoting factor,6
MGI:1923696,Wdr62,WD repeat domain 62,7
MGI:1926186,Wdr76,WD repeat domain 76,2
MGI:3027899,Wee2,WEE1 homolog 2 (S. pombe),6
MGI:1332638,Wiz,widely-interspaced zinc finger motifs,17
MGI:98957,Wnt4,"wingless-type MMTV integration site family, member 4",4
MGI:98958,Wnt5a,"wingless-type MMTV integration site family, member 5A",14
MGI:108061,Wnt10b,"wingless-type MMTV integration site family, member 10B",15
MGI:1891749,Wrap73,"WD repeat containing, antisense to Trp73",4
MGI:103557,Xpc,"xeroderma pigmentosum, complementation group C",6
MGI:2144013,Xpo1,exportin 1,11
MGI:1927345,Xrcc2,X-ray repair complementing defective repair in Chinese hamster cells 2,5
MGI:1921585,Xrcc3,X-ray repair complementing defective repair in Chinese hamster cells 3,12
MGI:2448561,Ythdc2,YTH domain containing 2,18
MGI:2444233,Ythdf2,YTH N6-methyladenosine RNA binding protein 2,4
MGI:109194,Ywhah,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide",5
MGI:1919364,Zbed3,"zinc finger, BED type containing 3",13
MGI:3045313,Zc3h12d,zinc finger CCCH type containing 12D,10
MGI:2685899,Zcwpw1,"zinc finger, CW type with PWWP domain 1",5
MGI:107946,Zfp36l1,"zinc finger protein 36, C3H type-like 1",12
MGI:107945,Zfp36l2,"zinc finger protein 36, C3H type-like 2",17
MGI:1340045,Zfp207,zinc finger protein 207,11
MGI:2143676,Zfp365,zinc finger protein 365,10
MGI:1353644,Zfp503,zinc finger protein 503,14
MGI:1919861,Zfp655,zinc finger protein 655,5
MGI:1914233,Zfp830,zinc finger protein 830,11
MGI:99213,Zfy2,"zinc finger protein 2, Y-linked",Y
MGI:1919258,Zfyve19,"zinc finger, FYVE domain containing 19",2
MGI:1924767,Zfyve26,"zinc finger, FYVE domain containing 26",12
MGI:1890508,Zmpste24,"zinc metallopeptidase, STE24",4
MGI:1917353,Znhit1,"zinc finger, HIT domain containing 1",5
MGI:1330262,Zpr1,ZPR1 zinc finger,9
MGI:99182,Zscan21,zinc finger and SCAN domain containing 21,5
MGI:1349478,Zw10,zw10 kinetochore protein,9
MGI:1915264,Zwilch,zwilch kinetochore protein,9
MGI:1289227,Zwint,ZW10 interactor,10
