"initial_alias","converted_alias","name","description","namespace"
"YGR093W","YGR093W","DRN1","Splicing factor that modulates turnover of branched RNAs by Dbr1p; interacts with spliceosomal components and branched RNA splicing products; enhances Dbr1p debranching in vitro; conserved protein with domain organization identical from yeast to human; N-terminal homology to Dbr1p N-terminus, but Dbr1p catalytic residues not conserved; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000003325]","ENSG,ENSP"
"YGR094W","YGR094W","VAS1","Mitochondrial and cytoplasmic valyl-tRNA synthetase; human homolog VARS2 implicated in mitochondrial diseases, can partially complement yeast null mutant [Source:SGD;Acc:S000003326]","ENSG,ENSP"
"YGR096W","YGR096W","TPC1","Mitochondrial membrane transporter; mediates uptake of the essential cofactor thiamine pyrophosphate (ThPP) into mitochondria; expression appears to be regulated by carbon source; member of the mitochondrial carrier family [Source:SGD;Acc:S000003328]","ENSG,ENSP"
"YGR097W","YGR097W","ASK10","Regulator of the Fps1p glycerol channel; under nonstress conditions, binds to Fps1p to positively regulate glycerol transport; under osmotic stress, multiple phosphorylation by Hog1p causes Ask10p to dissociate from Fps1p; forms homodimers and heterodimerizes with paralog Rgc1p; phosphorylated in response to oxidative stress; has a role in destruction of Ssn8p; associates with RNA polymerase II holoenzyme [Source:SGD;Acc:S000003329]","ENSG,ENSP"
"YGR099W","YGR099W","TEL2","Subunit of the ASTRA complex, involved in chromatin remodeling; subunit of the telomere cap complex DNA-binding protein specific to single-stranded yeast telomeric DNA repeats, required for telomere length regulation and telomere position effect; involved in the stability or biogenesis of PIKKs such as TORC1 [Source:SGD;Acc:S000003331]","ENSG,ENSP"
"YGR100W","YGR100W","MDR1","Cytoplasmic GTPase-activating protein; activates Ypt/Rab transport GTPases Ypt6p, Ypt31p and Sec4p; involved in recycling of internalized proteins and regulation of Golgi secretory function [Source:SGD;Acc:S000003332]","ENSG,ENSP"
"YGR101W","YGR101W","PCP1","Mitochondrial serine protease; required for the processing of various mitochondrial proteins and maintenance of mitochondrial DNA and morphology; belongs to the rhomboid-GlpG superfamily of intramembrane peptidases [Source:SGD;Acc:S000003333]","ENSG,ENSP"
"YGR103W","YGR103W","NOP7","Component of several different pre-ribosomal particles; forms a complex with Ytm1p and Erb1p that is required for maturation of the large ribosomal subunit; required for exit from G0 and the initiation of cell proliferation [Source:SGD;Acc:S000003335]","ENSG,ENSP"
"YGR105W","YGR105W","VMA21","Integral membrane protein required for V-ATPase function; not an actual component of the vacuolar H+-ATPase (V-ATPase) complex; diverged ortholog of human XMEA (X-linked Myopathy with Excessive Autophagy); functions in the assembly of the V-ATPase; localized to the yeast endoplasmic reticulum (ER) [Source:SGD;Acc:S000003337]","ENSG,ENSP"
"YGR107W","YGR107W","YGR107W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000003339]","ENSG,ENSP"
"YGR108W","YGR108W","CLB1","B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the transition from G2 to M phase; accumulates during G2 and M, then targeted via a destruction box motif for ubiquitin-mediated degradation by the proteasome; CLB1 has a paralog, CLB2, that arose from the whole genome duplication [Source:SGD;Acc:S000003340]","ENSG,ENSP"
"YGR110W","YGR110W","CLD1","Mitochondrial cardiolipin-specific phospholipase; functions upstream of Taz1p to generate monolyso-cardiolipin; transcription increases upon genotoxic stress; involved in restricting Ty1 transposition; has homology to mammalian CGI-58 [Source:SGD;Acc:S000003342]","ENSG,ENSP"
"YGR111W","YGR111W","YGR111W","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus [Source:SGD;Acc:S000003343]","ENSG,ENSP"
"YGR112W","YGR112W","SHY1","Mitochondrial inner membrane protein required for complex IV assembly; associates with complex IV assembly intermediates and complex III/complex IV supercomplexes; similar to human SURF1 involved in Leigh Syndrome; complex IV is also known as cytochrome c oxidase [Source:SGD;Acc:S000003344]","ENSG,ENSP"
"YGR113W","YGR113W","DAM1","Essential subunit of the Dam1 complex (aka DASH complex); cooperates with Duo1p to connect the DASH complex with the microtubules (MT); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; Ipl1p target for regulating kinetochore-MT attachments [Source:SGD;Acc:S000003345]","ENSG,ENSP"
"YGR115C","YGR115C","YGR115C","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified and essential ORF SPT6/YGR115C [Source:SGD;Acc:S000003347]","ENSG,ENSP"
"YGR116W","YGR116W","SPT6","Nucleosome remodeling protein; functions in various aspects of transcription, chromatin maintenance, and RNA processing; required for the maintenance of chromatin structure during transcription in order to inhibit transcription from promoters within the coding region; required for H3K36 trimethylation but not dimethylation by Set2p [Source:SGD;Acc:S000003348]","ENSG,ENSP"
"YGR118W","YGR118W","RPS23A","Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit; required for translational accuracy; homologous to mammalian ribosomal protein S23 and bacterial S12; RPS23A has a paralog, RPS23B, that arose from the whole genome duplication; deletion of both RPS23A and RPS23B is lethal [Source:SGD;Acc:S000003350]","ENSG,ENSP"
"YGR119C","YGR119C","NUP57","FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier; found in stable complex with Nic96p and two other FG-nucleoproteins (Nsp1p and Nup49p) [Source:SGD;Acc:S000003351]","ENSG,ENSP"
"YGR120C","YGR120C","COG2","Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments; the components of the Golgi complex are Gog1p through Cog8p [Source:SGD;Acc:S000003352]","ENSG,ENSP"
"YGR122C-A","YGR122C-A","YGR122C-A","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; similar to YLR334C and YOL106W [Source:SGD;Acc:S000007240]","ENSG,ENSP"
"YGR122W","YGR122W","YGR122W","Protein that may be involved in pH regulation; probable ortholog of A. nidulans PalC, which is involved in pH regulation and binds to the ESCRT-III complex; null mutant does not properly process Rim101p and has decreased resistance to rapamycin; GFP-fusion protein is cytoplasmic; relative distribution to cytoplasm increases upon DNA replication stress [Source:SGD;Acc:S000003354]","ENSG,ENSP"
"YGR123C","YGR123C","PPT1","Protein serine/threonine phosphatase; regulates Hsp90 chaperone by affecting its ATPase and cochaperone binding activities; has similarity to human phosphatase PP5; present in both the nucleus and cytoplasm; expressed during logarithmic growth [Source:SGD;Acc:S000003355]","ENSG,ENSP"
"YGR125W","YGR125W","YGR125W","Putative protein of unknown function; deletion mutant has decreased rapamycin resistance but normal wormannin resistance; green fluorescent protein (GFP)-fusion protein localizes to the vacuole [Source:SGD;Acc:S000003357]","ENSG,ENSP"
"YGR126W","YGR126W","YGR126W","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus and is induced in response to the DNA-damaging agent MMS [Source:SGD;Acc:S000003358]","ENSG,ENSP"
"YGR127W","YGR127W","YGR127W","Putative protein of unknown function; expression is regulated by Msn2p/Msn4p, indicating a possible role in stress response [Source:SGD;Acc:S000003359]","ENSG,ENSP"
"YGR129W","YGR129W","SYF2","Member of the NineTeen Complex (NTC); NTC contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; relocalizes to the cytosol in response to hypoxia; isy1 syf2 cells have defective spindles activiating cell cycle arrest [Source:SGD;Acc:S000003361]","ENSG,ENSP"
"YGR131W","YGR131W","FHN1","Protein of unknown function; induced by ketoconazole; promoter region contains sterol regulatory element motif, which has been identified as a Upc2p-binding site; overexpression complements function of Nce102p in NCE102 deletion strain; FHN1 has a paralog, NCE102, that arose from the whole genome duplication [Source:SGD;Acc:S000003363]","ENSG,ENSP"
"YGR133W","YGR133W","PEX4","Peroxisomal ubiquitin conjugating enzyme; required for peroxisomal matrix protein import and peroxisome biogenesis [Source:SGD;Acc:S000003365]","ENSG,ENSP"
"YGR137W","YGR137W","YGR137W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000003369]","ENSG,ENSP"
"YGR139W","YGR139W","YGR139W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000003371]","ENSG,ENSP"
"YGR140W","YGR140W","CBF2","Essential kinetochore protein; component of the CBF3 multisubunit complex that binds to the CDEIII region of the centromere; Cbf2p also binds to the CDEII region possibly forming a different multimeric complex, ubiquitinated in vivo; sumoylated in an Mms21p-dependent manner; relative distribution to the spindle pole body decreases upon DNA replication stress [Source:SGD;Acc:S000003372]","ENSG,ENSP"
"YGR141W","YGR141W","VPS62","Vacuolar protein sorting (VPS) protein; required for cytoplasm to vacuole targeting of proteins; VPS62 has a paralog, TDA6, that arose from the whole genome duplication [Source:SGD;Acc:S000003373]","ENSG,ENSP"
"YGR142W","YGR142W","BTN2","v-SNARE binding protein; facilitates specific protein retrieval from a late endosome to the Golgi; modulates arginine uptake, possible role in mediating pH homeostasis between the vacuole and plasma membrane H(+)-ATPase; contributes to prion curing; preferentially expressed after severe ethanol stress [Source:SGD;Acc:S000003374]","ENSG,ENSP"
"YGR143W","YGR143W","SKN1","Protein involved in sphingolipid biosynthesis; type II membrane protein; SKN1 has a paralog, KRE6, that arose from the whole genome duplication [Source:SGD;Acc:S000003375]","ENSG,ENSP"
"YGR144W","YGR144W","THI4","Thiazole synthase; abundant protein involved in the formation of the thiazole moiety of thiamine during thiamine biosynthesis; acts more as a co-substrate rather than an enzyme by providing the sulphur source for thiazole formation; undergoes a single turnover only; required for mitochondrial genome stability in response to DNA damaging agents [Source:SGD;Acc:S000003376]","ENSG,ENSP"
"YGR145W","YGR145W","ENP2","Component of the SSU; required for pre-18S rRNA processing, biogenesis of the small ribosomal subunit; interacts with U3 snoRNA, Mpp10p and Bfr2p; contains WD repeats, and has homology to Spb1p [Source:SGD;Acc:S000003377]","ENSG,ENSP"
"YGR146C","YGR146C","ECL1","Protein of unknown function; mitochondrial-dependent role in the extension of chronological lifespan; overexpression increases oxygen consumption and respiratory activity while deletion results in reduced oxygen consumption under conditions of caloric restriction; induced by iron homeostasis transcription factor Aft2p; multicopy suppressor of temperature sensitive hsf1 mutant; induced by treatment with 8-methoxypsoralen and UVA irradiation [Source:SGD;Acc:S000003378]","ENSG,ENSP"
"YGR147C","YGR147C","NAT2","Protein of unknown function; has an apparent role in acetylation of N-terminal methionine residues [Source:SGD;Acc:S000003379]","ENSG,ENSP"
"YGR149W","YGR149W","GPC1","Glycerophosphocholine acyltransferase (GPCAT); involved in in phosphatidylcholine (PC) synthesis; uses acetyl-CoA to acylate glycero-3-phosphocholine to yield lyso-PC; also catalyzes acylation of glycerophosphoethanolamine with acyl-CoA; predicted to be an integal membrane protein [Source:SGD;Acc:S000003381]","ENSG,ENSP"
"YGR150C","YGR150C","CCM1","Mitochondrial 15S rRNA-binding protein; required for intron removal of COB and COX1 pre-mRNAs; has separable roles in stabilizing mitochondrial 15S rRNA and in maturation of the COB and COX1 mRNAs; contains pentatricopeptide repeat (PPR) motifs; mutant is respiratory deficient and has defective plasma membrane electron transport [Source:SGD;Acc:S000003382]","ENSG,ENSP"
"YGR153W","YGR153W","YGR153W","Putative protein of unknown function [Source:SGD;Acc:S000003385]","ENSG,ENSP,SGD_GENE"
"YGR155W","YGR155W","CYS4","Cystathionine beta-synthase; catalyzes synthesis of cystathionine from serine and homocysteine, the first committed step in cysteine biosynthesis; responsible for hydrogen sulfide generation; advances passage through START by promoting cell growth which requires catalytic activity, and reducing critical cell size independent of catalytic activity; mutations in human ortholog CBS cause homocystinuria; human CBS can complement yeast null mutant [Source:SGD;Acc:S000003387]","ENSG,ENSP"
"YGR156W","YGR156W","PTI1","Essential component of CPF (cleavage and polyadenylation factor); involved in 3' end formation of snoRNA and mRNA; interacts directly with Pta1p; relocalizes to the cytosol in response to hypoxia; similar to mammalian Cleavage-Stimulation Factor CstF-64 [Source:SGD;Acc:S000003388]","ENSG,ENSP"
"YGR157W","YGR157W","CHO2","Phosphatidylethanolamine methyltransferase (PEMT); catalyzes the first step in the conversion of phosphatidylethanolamine to phosphatidylcholine during the methylation pathway of phosphatidylcholine biosynthesis [Source:SGD;Acc:S000003389]","ENSG,ENSP"
"YGR159C","YGR159C","NSR1","Nucleolar protein that binds nuclear localization sequences; required for pre-rRNA processing and ribosome biogenesis; binds to single stranded telomeric DNA and mRNA; methylated by Hmt1p; interaction with Top1p and nucleolar localization are negatively regulated by polyphosphorylation [Source:SGD;Acc:S000003391]","ENSG,ENSP"
"YGR160W","YGR160W","YGR160W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000003392]","ENSG,ENSP"
"YGR161C","YGR161C","RTS3","Putative component of the protein phosphatase type 2A complex [Source:SGD;Acc:S000003393]","ENSG,ENSP"
"YGR162W","YGR162W","TIF4631","Translation initiation factor eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); interacts with Pab1p and with eIF4A (Tif1p); also has a role in biogenesis of the large ribosomal subunit; TIF4631 has a paralog, TIF4632, that arose from the whole genome duplication [Source:SGD;Acc:S000003394]","ENSG,ENSP"
"YGR166W","YGR166W","TRS65","Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating intra-Golgi and endosome-Golgi traffic; role in cell wall beta-glucan biosynthesis and the stress response [Source:SGD;Acc:S000003398]","ENSG,ENSP"
"YGR167W","YGR167W","CLC1","Clathrin light chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; regulates endocytic progression; thought to regulate clathrin function; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion [Source:SGD;Acc:S000003399]","ENSG,ENSP"
"YGR168C","YGR168C","YGR168C","Putative protein of unknown function; YGR168C is not an essential gene [Source:SGD;Acc:S000003400]","ENSG,ENSP"
"YGR170W","YGR170W","PSD2","Phosphatidylserine decarboxylase of the Golgi and vacuolar membranes; converts phosphatidylserine to phosphatidylethanolamine; controls vacuolar membrane phospholipid content by regulating phospholipids in compartments that will eventually give rise to the vacuole; loss of Psd2p causes a specific reduction in vacuolar membrane PE levels while total PE levels are not significantly affected [Source:SGD;Acc:S000003402]","ENSG,ENSP"
"YGR171C","YGR171C","MSM1","Mitochondrial methionyl-tRNA synthetase (MetRS); functions as a monomer in mitochondrial protein synthesis; functions similarly to cytoplasmic MetRS although the cytoplasmic form contains a zinc-binding domain not found in Msm1p [Source:SGD;Acc:S000003403]","ENSG,ENSP"
"YGR173W","YGR173W","RBG2","Protein with a role in translation; forms a complex with Gir2p; has similarity to mammalian developmentally regulated GTP-binding protein [Source:SGD;Acc:S000003405]","ENSG,ENSP"
"YGR174C","YGR174C","CBP4","Mitochondrial protein required for assembly of cytochrome bc1 complex; interacts with the Cbp3p-Cbp6p complex and newly synthesized cytochrome b (Cobp) to promote assembly of Cobp into the cytochrome bc1 complex [Source:SGD;Acc:S000003406]","ENSG,ENSP"
"YGR176W","YGR176W","YGR176W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000003408]","ENSG,ENSP"
"YGR177C","YGR177C","ATF2","Alcohol acetyltransferase; may play a role in steroid detoxification; forms volatile esters during fermentation, which is important for brewing and winemaking [Source:SGD;Acc:S000003409]","ENSG,ENSP"
"YGR178C","YGR178C","PBP1","Component of glucose deprivation induced stress granules; involved in P-body-dependent granule assembly; similar to human ataxin-2; interacts with Pab1p to regulate mRNA polyadenylation; interacts with Mkt1p to regulate HO translation; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress [Source:SGD;Acc:S000003410]","ENSG,ENSP"
"YGR179C","YGR179C","OKP1","Outer kinetochore protein required for accurate chromosome segregation; component of COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) a kinetochore sub-complex which functions as a platform for kinetochore assembly; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-Q and fission yeast fta7 [Source:SGD;Acc:S000003411]","ENSG,ENSP"
"YGR181W","YGR181W","TIM13","Mitochondrial intermembrane space protein; forms a complex with Tim8p that delivers a subset of hydrophobic proteins to the TIM22 complex for insertion into the inner membrane [Source:SGD;Acc:S000003413]","ENSG,ENSP"
"YGR183C","YGR183C","QCR9","Subunit 9 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; required for electron transfer at the ubiquinol oxidase site of the complex [Source:SGD;Acc:S000003415]","ENSG,ENSP"
"YGR186W","YGR186W","TFG1","TFIIF (Transcription Factor II) largest subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP74 [Source:SGD;Acc:S000003418]","ENSG,ENSP"
"YGR187C","YGR187C","HGH1","Nonessential protein of unknown function; predicted to be involved in ribosome biogenesis; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; similar to mammalian BRP16 (Brain protein 16); relative distribution to the nucleus increases upon DNA replication stress [Source:SGD;Acc:S000003419]","ENSG,ENSP"
"YGR188C","YGR188C","BUB1","Protein kinase involved in the cell cycle checkpoint into anaphase; in complex with Mad1p and Bub3p, prevents progression into anaphase in presence of spindle damage; Cdc28p-mediated phosphorylation at Bub1p-T566 is important for degradation in anaphase and adaptation of checkpoint to prolonged mitotic arrest; associates with centromere DNA via Skp1p; involved in Sgo1p relocalization in response to sister kinetochore tension; paralog MAD3 arose from whole genome duplication [Source:SGD;Acc:S000003420]","ENSG,ENSP"
"YGR189C","YGR189C","CRH1","Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally redundant to Utr2; localizes to sites of polarized growth; expression induced by cell wall stress [Source:SGD;Acc:S000003421]","ENSG,ENSP"
"YGR190C","YGR190C","YGR190C","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene HIP1/YGR191W [Source:SGD;Acc:S000003422]","ENSG,ENSP"
"YGR191W","YGR191W","HIP1","High-affinity histidine permease; also involved in the transport of manganese ions [Source:SGD;Acc:S000003423]","ENSG,ENSP"
"YGR192C","YGR192C","TDH3","Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 3; involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall; GAPDH-derived antimicrobial peptides secreted by S. cerevisiae are active against a wide variety of wine-related yeasts and bacteria; binds AU-rich RNA [Source:SGD;Acc:S000003424]","ENSG,ENSP"
"YGR195W","YGR195W","SKI6","Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp41p (EXOSC4) [Source:SGD;Acc:S000003427]","ENSG,ENSP"
"YGR196C","YGR196C","FYV8","Protein of unknown function; required for survival upon exposure to K1 killer toxin [Source:SGD;Acc:S000003428]","ENSG,ENSP"
"YGR200C","YGR200C","ELP2","Subunit of Elongator complex; binds to microtubules via conserved alkaline residues; has two seven-bladed WD40 &#946; propellers; Elongator complex is required for modification of wobble nucleosides in tRNA; target of Kluyveromyces lactis zymocin [Source:SGD;Acc:S000003432]","ENSG,ENSP"
"YGR201C","YGR201C","YGR201C","Putative protein of unknown function [Source:SGD;Acc:S000003433]","ENSG,ENSP"
"YGR204W","YGR204W","ADE3","Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase; involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine; null mutation causes auxotrophy for adenine and histidine [Source:SGD;Acc:S000003436]","ENSG,ENSP"
"YGR205W","YGR205W","TDA10","ATP-binding protein of unknown function; crystal structure resembles that of E.coli pantothenate kinase and other small kinases; null mutant is sensitive to expression of the top1-T722A allele [Source:SGD;Acc:S000003437]","ENSG,ENSP"
"YGR206W","YGR206W","MVB12","ESCRT-I subunit required to stabilize ESCRT-I core complex oligomers; the ESCRT-I core complex (Stp22p, Vps28p, Srn2p) is involved in ubiquitin-dependent sorting of proteins into the endosome; deletion mutant is sensitive to rapamycin and nystatin [Source:SGD;Acc:S000003438]","ENSG,ENSP"
"YGR208W","YGR208W","SER2","Phosphoserine phosphatase of the phosphoglycerate pathway; involved in serine and glycine biosynthesis, expression is regulated by the available nitrogen source [Source:SGD;Acc:S000003440]","ENSG,ENSP"
"YGR209C","YGR209C","TRX2","Cytoplasmic thioredoxin isoenzyme; part of thioredoxin system which protects cells against oxidative and reductive stress; forms LMA1 complex with Pbi2p; acts as a cofactor for Tsa1p; required for ER-Golgi transport and vacuole inheritance; with Trx1p, facilitates mitochondrial import of small Tims Tim9p, Tim10p, Tim13p by maintaining them in reduced form; abundance increases under DNA replication stress; TRX2 has a paralog, TRX1, that arose from the whole genome duplication [Source:SGD;Acc:S000003441]","ENSG,ENSP"
"YGR211W","YGR211W","ZPR1","Essential protein with two zinc fingers; present in nucleus of growing cells, relocates to cytoplasm in starved cells via a process mediated by Cpr1p; binds translation elongation factor eEF-1 (Tef1p); relative distribution to nucleus increases upon DNA replication stress; human ZPR1 gene can complement yeast by allowing growth during down-regulation of yeast zpr1 [Source:SGD;Acc:S000003443]","ENSG,ENSP"
"YGR212W","YGR212W","SLI1","N-acetyltransferase; confers resistance to the sphingolipid biosynthesis inhibitor myriocin (ISP-1) by converting it into N-acetyl-myriocin, co-operates with Ypk1p in mediating resistance to myriocin [Source:SGD;Acc:S000003444]","ENSG,ENSP"
"YGR218W","YGR218W","CRM1","Major karyopherin; involved in export of proteins, RNAs, and ribosomal subunits from the nucleus; exportin [Source:SGD;Acc:S000003450]","ENSG,ENSP"
"YGR219W","YGR219W","YGR219W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF MRPL9/YGR220C [Source:SGD;Acc:S000003451]","ENSG,ENSP"
"YGR220C","YGR220C","MRPL9","Mitochondrial ribosomal protein of the large subunit [Source:SGD;Acc:S000003452]","ENSG,ENSP"
"YGR224W","YGR224W","AZR1","Plasma membrane transporter of the major facilitator superfamily; involved in resistance to azole drugs such as ketoconazole and fluconazole [Source:SGD;Acc:S000003456]","ENSG,ENSP"
"YGR225W","YGR225W","AMA1","Activator of meiotic anaphase promoting complex (APC/C); Cdc20p family member; required for initiation of spore wall assembly; required for Clb1p degradation during meiosis; prevents premature assembly of the meiosis I spindle, required for DSB induced prophase I arrest [Source:SGD;Acc:S000003457]","ENSG,ENSP"
"YGR227W","YGR227W","DIE2","Dolichyl-phosphoglucose-dependent alpha-1,2-glucosyltransferase; located in the ER; functions in pathway that synthesizes the dolichol-linked oligosaccharide precursor for N-linked protein glycosylation; has a role in regulation of ITR1 and INO1; human homolog ALG10B can complement yeast die2 null mutant [Source:SGD;Acc:S000003459]","ENSG,ENSP"
"YGR230W","YGR230W","BNS1","Protein of unknown function; overexpression bypasses need for Spo12p, but not required for meiosis; BNS1 has a paralog, SPO12, that arose from the whole genome duplication [Source:SGD;Acc:S000003462]","ENSG,ENSP"
"YGR232W","YGR232W","NAS6","Evolutionarily conserved 19S regulatory particle assembly-chaperone; proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasomal regulatory particle (RP); ortholog of human oncoprotein gankyrin, also known as p28, which interacts with the Rb tumor suppressor and CDK4/6 [Source:SGD;Acc:S000003464]","ENSG,ENSP"
"YGR234W","YGR234W","YHB1","Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress [Source:SGD;Acc:S000003466]","ENSG,ENSP"
"YGR237C","YGR237C","YGR237C","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm [Source:SGD;Acc:S000003469]","ENSG,ENSP"
"YGR238C","YGR238C","KEL2","Protein that negatively regulates mitotic exit; forms a complex with Kel1p and Bud14p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; functions in a complex with Kel1p, interacts with Tem1p and Lte1p; localizes to regions of polarized growth; potential Cdc28p substrate [Source:SGD;Acc:S000003470]","ENSG,ENSP"
"YGR239C","YGR239C","PEX21","Peroxin required for peroxisomal matrix protein targeting; acts on proteins containing the PTS2 targeting sequence; interacts with Pex7p; constitutively expressed; partially redundant with Pex18p; required for import of the Gpd1p-Pnc1p heterodimer in which only Gpd1p has a peroxisomal targeting signal; relative distribution to cytoplasmic foci increases upon DNA replication stress [Source:SGD;Acc:S000003471]","ENSG,ENSP"
"YGR242W","YGR242W","YGR242W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF YAP1802/YGR241C [Source:SGD;Acc:S000003474]","ENSG,ENSP"
"YGR243W","YGR243W","MPC3","Highly conserved subunit of the mitochondrial pyruvate carrier (MPC); expressed during growth on nonfermentable carbon sources, and heterodimerizes with Mpc1p to form the respiratory isoform of MPC; MPC localizes to the mitochondrial inner membrane and mediates pyruvate uptake; MPC3 paralog, MPC2, heterodimerizes with Mpc1p to form the fermentative MPC isoform; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000003475]","ENSG,ENSP"
"YGR245C","YGR245C","SDA1","Protein required for actin organization and passage through Start; highly conserved nuclear protein; required for actin cytoskeleton organization; plays a critical role in G1 events; binds Nap1p; involved in 60S ribosome biogenesis [Source:SGD;Acc:S000003477]","ENSG,ENSP"
"YGR247W","YGR247W","CPD1","Cyclic nucleotide phosphodiesterase; hydrolyzes ADP-ribose 1'', 2''-cyclic phosphate to ADP-ribose 1''-phosphate; may have a role in tRNA splicing; no detectable phenotype is conferred by null mutation or by overexpression; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000003479]","ENSG,ENSP"
"YGR248W","YGR248W","SOL4","6-phosphogluconolactonase; protein abundance increases in response to DNA replication stress; SOL4 has a paralog, SOL3, that arose from the whole genome duplication [Source:SGD;Acc:S000003480]","ENSG,ENSP"
"YGR249W","YGR249W","MGA1","Protein similar to heat shock transcription factor; multicopy suppressor of pseudohyphal growth defects of ammonium permease mutants [Source:SGD;Acc:S000003481]","ENSG,ENSP"
"YGR250C","YGR250C","RIE1","Putative RNA binding protein; localizes to stress granules induced by glucose deprivation; interacts with Rbg1p in a two-hybrid assay; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000003482]","ENSG,ENSP"
"YGR251W","YGR251W","NOP19","Ribosome biogenesis factor; nucleolar protein associated with pre-rRNA components of the 90S preribosome, required for cleavage of pre-rRNA at A0, A1 and A2 sites; interacts with RNA helicase Dhr2p and RNA helicase-like protein Utp25p; required for incorporation of Utp25p into preribosomes [Source:SGD;Acc:S000003483]","ENSG,ENSP"
"YGR252W","YGR252W","GCN5","Catalytic subunit of ADA and SAGA histone acetyltransferase complexes; modifies N-terminal lysines on histones H2B and H3; acetylates Rsc4p, a subunit of the RSC chromatin-remodeling complex, altering replication stress tolerance; relocalizes to the cytosol in response to hypoxia; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; greater involvement in repression of RNAPII-dependent transcription than in activation [Source:SGD;Acc:S000003484]","ENSG,ENSP"
"YGR254W","YGR254W","ENO1","Enolase I, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression repressed in response to glucose; protein abundance increases in response to DNA replication stress; N-terminally propionylated in vivo; ENO1 has a paralog, ENO2, that arose from the whole genome duplication [Source:SGD;Acc:S000003486]","ENSG,ENSP"
